YEAR,LOCATION,"STATE ANSI","ASD CODE","COUNTY ANSI","REFERENCE PERIOD",COMMODITY,"PRODN PRACTICE","AREA HARVESTED in ACRES","AREA PLANTED in ACRES","PRODUCTION in CWT","YIELD in LB / ACRE","PRODUCTION in $"
1989,"MICHIGAN, CENTRAL, MIDLAND",26,50,111,YEAR,"BEANS, DRY EDIBLE, OTHER","ALL PRODUCTION PRACTICES","2,200","2,400","31,000","1,410"," "
1989,"MICHIGAN, CENTRAL, MONTCALM",26,50,117,YEAR,"BEANS, DRY EDIBLE, OTHER","ALL PRODUCTION PRACTICES","8,600","10,300","148,000","1,720"," "
1989,"MICHIGAN, EAST CENTRAL",26,60,"   ",YEAR,"BEANS, DRY EDIBLE, OTHER","ALL PRODUCTION PRACTICES","28,000","30,000","451,000","1,610"," "
1989,"MICHIGAN, SOUTH CENTRAL, OTHER (COMBINED) COUNTIES",26,80,"   ",YEAR,"BEANS, DRY EDIBLE, OTHER","ALL PRODUCTION PRACTICES",130,150,"1,700","1,310"," "
1989,"MICHIGAN, SOUTHWEST, OTHER (COMBINED) COUNTIES",26,70,"   ",YEAR,"BEANS, DRY EDIBLE, OTHER","ALL PRODUCTION PRACTICES",230,250,"3,600","1,570"," "
1989,"US TOTAL","  ","  ","   ",YEAR,"BEANS, DRY EDIBLE, OTHER","ALL PRODUCTION PRACTICES","53,900","60,500","876,000","1,625"," "
1989,"MICHIGAN, CENTRAL",26,50,"   ",YEAR,"BEANS, DRY EDIBLE, OTHER","ALL PRODUCTION PRACTICES","17,500","21,000","266,000","1,520"," "
1989,"MICHIGAN, NORTHWEST, OTHER (COMBINED) COUNTIES",26,20,"   ",YEAR,"BEANS, DRY EDIBLE, OTHER","ALL PRODUCTION PRACTICES","1,600","1,700","20,400","1,280"," "
1989,"MICHIGAN, UPPER PENINSULA, OTHER (COMBINED) COUNTIES",26,10,"   ",YEAR,"BEANS, DRY EDIBLE, OTHER","ALL PRODUCTION PRACTICES","1,900","2,000","17,000",890," "
1989,"MICHIGAN, SOUTH CENTRAL, IONIA",26,80,067,YEAR,"BEANS, DRY EDIBLE, OTHER","ALL PRODUCTION PRACTICES",900,"1,000","12,100","1,340"," "
1989,"MICHIGAN, SOUTH CENTRAL, EATON",26,80,045,YEAR,"BEANS, DRY EDIBLE, OTHER","ALL PRODUCTION PRACTICES",850,"1,000","12,000","1,410"," "
1989,"MICHIGAN, EAST CENTRAL, ARENAC",26,60,011,YEAR,"BEANS, DRY EDIBLE, OTHER","ALL PRODUCTION PRACTICES","2,800","2,900","40,000","1,430"," "
1989,"MICHIGAN, EAST CENTRAL, BAY",26,60,017,YEAR,"BEANS, DRY EDIBLE, OTHER","ALL PRODUCTION PRACTICES","3,300","3,900","50,000","1,520"," "
1989,"MICHIGAN, SOUTH CENTRAL, CLINTON",26,80,037,YEAR,"BEANS, DRY EDIBLE, OTHER","ALL PRODUCTION PRACTICES","1,100","1,300","19,200","1,750"," "
1989,"MICHIGAN, EAST CENTRAL, HURON",26,60,063,YEAR,"BEANS, DRY EDIBLE, OTHER","ALL PRODUCTION PRACTICES","10,500","11,000","184,000","1,750"," "
1989,"MICHIGAN, SOUTH CENTRAL, BARRY",26,80,015,YEAR,"BEANS, DRY EDIBLE, OTHER","ALL PRODUCTION PRACTICES",220,250,"3,200","1,450"," "
1989,"MICHIGAN, EAST CENTRAL, SAGINAW",26,60,145,YEAR,"BEANS, DRY EDIBLE, OTHER","ALL PRODUCTION PRACTICES","2,500","2,600","37,000","1,480"," "
1989,"MICHIGAN, SOUTH CENTRAL",26,80,"   ",YEAR,"BEANS, DRY EDIBLE, OTHER","ALL PRODUCTION PRACTICES","3,700","4,500","54,600","1,480"," "
1989,"MICHIGAN, EAST CENTRAL, SANILAC",26,60,151,YEAR,"BEANS, DRY EDIBLE, OTHER","ALL PRODUCTION PRACTICES","1,700","1,800","23,000","1,350"," "
1989,"MICHIGAN, EAST CENTRAL, TUSCOLA",26,60,157,YEAR,"BEANS, DRY EDIBLE, OTHER","ALL PRODUCTION PRACTICES","7,200","7,800","117,000","1,630"," "
1989,"MICHIGAN, NORTHEAST",26,30,"   ",YEAR,"BEANS, DRY EDIBLE, OTHER","ALL PRODUCTION PRACTICES","7,400","8,600","92,500","1,250"," "
1989,"MICHIGAN, SOUTH CENTRAL, SHIAWASSEE",26,80,155,YEAR,"BEANS, DRY EDIBLE, OTHER","ALL PRODUCTION PRACTICES",500,800,"6,400","1,280"," "
1989,"MICHIGAN, NORTHEAST, ALPENA",26,30,007,YEAR,"BEANS, DRY EDIBLE, OTHER","ALL PRODUCTION PRACTICES","2,300","2,700","28,700","1,250"," "
1989,"MICHIGAN, NORTHWEST",26,20,"   ",YEAR,"BEANS, DRY EDIBLE, OTHER","ALL PRODUCTION PRACTICES","1,600","1,700","20,400","1,280"," "
1989,"MICHIGAN, NORTHEAST, MONTMORENCY",26,30,119,YEAR,"BEANS, DRY EDIBLE, OTHER","ALL PRODUCTION PRACTICES",730,750,"9,200","1,260"," "
1989,"MICHIGAN, NORTHEAST, PRESQUE ISLE",26,30,141,YEAR,"BEANS, DRY EDIBLE, OTHER","ALL PRODUCTION PRACTICES","4,050","4,800","50,600","1,250"," "
1989,"MICHIGAN, NORTHEAST, OTHER (COMBINED) COUNTIES",26,30,"   ",YEAR,"BEANS, DRY EDIBLE, OTHER","ALL PRODUCTION PRACTICES",320,350,"4,000","1,250"," "
1990,"MICHIGAN, SOUTHEAST, OTHER (COMBINED) COUNTIES",26,90,"   ",YEAR,"BEANS, DRY EDIBLE, OTHER","ALL PRODUCTION PRACTICES",300,300,"5,800","1,930"," "
1990,"MICHIGAN, EAST CENTRAL, SANILAC",26,60,151,YEAR,"BEANS, DRY EDIBLE, OTHER","ALL PRODUCTION PRACTICES","4,500","5,000","79,000","1,760"," "
1990,"MICHIGAN, EAST CENTRAL, HURON",26,60,063,YEAR,"BEANS, DRY EDIBLE, OTHER","ALL PRODUCTION PRACTICES","15,500","16,000","311,000","2,010"," "
1990,"MICHIGAN, EAST CENTRAL, TUSCOLA",26,60,157,YEAR,"BEANS, DRY EDIBLE, OTHER","ALL PRODUCTION PRACTICES","14,000","15,000","271,000","1,940"," "
1990,"MICHIGAN, NORTHEAST",26,30,"   ",YEAR,"BEANS, DRY EDIBLE, OTHER","ALL PRODUCTION PRACTICES","8,600","9,400","136,400","1,590"," "
1990,"MICHIGAN, EAST CENTRAL, BAY",26,60,017,YEAR,"BEANS, DRY EDIBLE, OTHER","ALL PRODUCTION PRACTICES","9,500","10,000","175,000","1,840"," "
1990,"MICHIGAN, EAST CENTRAL, ARENAC",26,60,011,YEAR,"BEANS, DRY EDIBLE, OTHER","ALL PRODUCTION PRACTICES","3,800","4,000","65,000","1,710"," "
1990,"MICHIGAN, NORTHEAST, ALPENA",26,30,007,YEAR,"BEANS, DRY EDIBLE, OTHER","ALL PRODUCTION PRACTICES","3,200","3,300","51,000","1,590"," "
1990,"MICHIGAN, EAST CENTRAL",26,60,"   ",YEAR,"BEANS, DRY EDIBLE, OTHER","ALL PRODUCTION PRACTICES","53,000","56,000","1,015,000","1,920"," "
1990,"MICHIGAN, CENTRAL, OTHER (COMBINED) COUNTIES",26,50,"   ",YEAR,"BEANS, DRY EDIBLE, OTHER","ALL PRODUCTION PRACTICES",100,100,"1,600","1,600"," "
1990,"MICHIGAN, NORTHEAST, MONTMORENCY",26,30,119,YEAR,"BEANS, DRY EDIBLE, OTHER","ALL PRODUCTION PRACTICES",600,650,"10,000","1,670"," "
1990,MICHIGAN,26,"  ","   ",YEAR,"BEANS, DRY EDIBLE, OTHER","ALL PRODUCTION PRACTICES","4,000","4,000","60,000","1,500"," "
1990,"MICHIGAN, CENTRAL, MONTCALM",26,50,117,YEAR,"BEANS, DRY EDIBLE, OTHER","ALL PRODUCTION PRACTICES","12,600","13,500","210,000","1,670"," "
1990,"MICHIGAN, SOUTH CENTRAL, BARRY",26,80,015,YEAR,"BEANS, DRY EDIBLE, OTHER","ALL PRODUCTION PRACTICES",700,800,"11,800","1,690"," "
1990,"MICHIGAN, CENTRAL, MIDLAND",26,50,111,YEAR,"BEANS, DRY EDIBLE, OTHER","ALL PRODUCTION PRACTICES","4,200","4,800","72,000","1,710"," "
1990,"MICHIGAN, NORTHEAST, OTHER (COMBINED) COUNTIES",26,30,"   ",YEAR,"BEANS, DRY EDIBLE, OTHER","ALL PRODUCTION PRACTICES",450,550,"7,400","1,640"," "
1990,"MICHIGAN, SOUTH CENTRAL, BRANCH",26,80,023,YEAR,"BEANS, DRY EDIBLE, OTHER","ALL PRODUCTION PRACTICES",350,400,"5,000","1,430"," "
1990,"MICHIGAN, CENTRAL, MECOSTA",26,50,107,YEAR,"BEANS, DRY EDIBLE, OTHER","ALL PRODUCTION PRACTICES","1,500","1,700","22,500","1,500"," "
1990,"MICHIGAN, SOUTH CENTRAL, CALHOUN",26,80,025,YEAR,"BEANS, DRY EDIBLE, OTHER","ALL PRODUCTION PRACTICES",200,200,"3,000","1,500"," "
1990,"MICHIGAN, NORTHEAST, PRESQUE ISLE",26,30,141,YEAR,"BEANS, DRY EDIBLE, OTHER","ALL PRODUCTION PRACTICES","4,350","4,900","68,000","1,560"," "
1990,"MICHIGAN, CENTRAL, ISABELLA",26,50,073,YEAR,"BEANS, DRY EDIBLE, OTHER","ALL PRODUCTION PRACTICES","3,000","3,300","48,000","1,600"," "
1990,"MICHIGAN, CENTRAL, GRATIOT",26,50,057,YEAR,"BEANS, DRY EDIBLE, OTHER","ALL PRODUCTION PRACTICES","12,000","13,000","201,000","1,680"," "
1990,"MICHIGAN, NORTHWEST",26,20,"   ",YEAR,"BEANS, DRY EDIBLE, OTHER","ALL PRODUCTION PRACTICES","1,200","1,300","20,200","1,680"," "
1990,"US TOTAL","  ","  ","   ",YEAR,"BEANS, DRY EDIBLE, OTHER","ALL PRODUCTION PRACTICES","102,000","115,900","1,391,000","1,364"," "
1990,"MICHIGAN, WEST CENTRAL, OTHER (COMBINED) COUNTIES",26,40,"   ",YEAR,"BEANS, DRY EDIBLE, OTHER","ALL PRODUCTION PRACTICES",100,100,"1,400","1,400"," "
1990,"MICHIGAN, SOUTH CENTRAL, CLINTON",26,80,037,YEAR,"BEANS, DRY EDIBLE, OTHER","ALL PRODUCTION PRACTICES",800,900,"14,400","1,800"," "
1990,"MICHIGAN, WEST CENTRAL",26,40,"   ",YEAR,"BEANS, DRY EDIBLE, OTHER","ALL PRODUCTION PRACTICES",100,100,"1,400","1,400"," "
1990,"MICHIGAN, UPPER PENINSULA, SCHOOLCRAFT",26,10,153,YEAR,"BEANS, DRY EDIBLE, OTHER","ALL PRODUCTION PRACTICES",200,200,"1,900",950," "
1990,"MICHIGAN, NORTHWEST, MANISTEE",26,20,101,YEAR,"BEANS, DRY EDIBLE, OTHER","ALL PRODUCTION PRACTICES",850,900,"14,300","1,680"," "
1990,"MICHIGAN, UPPER PENINSULA, DELTA",26,10,041,YEAR,"BEANS, DRY EDIBLE, OTHER","ALL PRODUCTION PRACTICES","1,300","1,500","14,400","1,110"," "
1990,"MICHIGAN, SOUTH CENTRAL, EATON",26,80,045,YEAR,"BEANS, DRY EDIBLE, OTHER","ALL PRODUCTION PRACTICES","1,500","1,600","24,600","1,640"," "
1990,"MICHIGAN, UPPER PENINSULA",26,10,"   ",YEAR,"BEANS, DRY EDIBLE, OTHER","ALL PRODUCTION PRACTICES","1,500","1,700","16,300","1,090"," "
1990,"MICHIGAN, SOUTHWEST, OTHER (COMBINED) COUNTIES",26,70,"   ",YEAR,"BEANS, DRY EDIBLE, OTHER","ALL PRODUCTION PRACTICES",250,250,"4,400","1,760"," "
1990,"MICHIGAN, SOUTH CENTRAL, INGHAM",26,80,065,YEAR,"BEANS, DRY EDIBLE, OTHER","ALL PRODUCTION PRACTICES",550,600,"8,000","1,450"," "
1990,"MICHIGAN, SOUTHWEST, KENT",26,70,081,YEAR,"BEANS, DRY EDIBLE, OTHER","ALL PRODUCTION PRACTICES","1,050","1,250","18,400","1,750"," "
1990,"MICHIGAN, SOUTH CENTRAL, IONIA",26,80,067,YEAR,"BEANS, DRY EDIBLE, OTHER","ALL PRODUCTION PRACTICES",400,400,"8,800","2,200"," "
1990,"MICHIGAN, SOUTH CENTRAL, JACKSON",26,80,075,YEAR,"BEANS, DRY EDIBLE, OTHER","ALL PRODUCTION PRACTICES",200,200,"3,000","1,500"," "
1990,"MICHIGAN, SOUTHWEST",26,70,"   ",YEAR,"BEANS, DRY EDIBLE, OTHER","ALL PRODUCTION PRACTICES","1,300","1,500","22,800","1,750"," "
1990,"MICHIGAN, SOUTH CENTRAL, SHIAWASSEE",26,80,155,YEAR,"BEANS, DRY EDIBLE, OTHER","ALL PRODUCTION PRACTICES",600,700,"9,600","1,600"," "
1990,"MICHIGAN, SOUTH CENTRAL, ST JOSEPH",26,80,149,YEAR,"BEANS, DRY EDIBLE, OTHER","ALL PRODUCTION PRACTICES",200,200,"4,400","2,200"," "
1990,"MICHIGAN, SOUTHEAST, ST CLAIR",26,90,147,YEAR,"BEANS, DRY EDIBLE, OTHER","ALL PRODUCTION PRACTICES",200,300,"3,500","1,750"," "
1990,"MICHIGAN, SOUTHEAST",26,90,"   ",YEAR,"BEANS, DRY EDIBLE, OTHER","ALL PRODUCTION PRACTICES","1,800","2,000","30,300","1,680"," "
1990,"MICHIGAN, SOUTHEAST, GENESEE",26,90,049,YEAR,"BEANS, DRY EDIBLE, OTHER","ALL PRODUCTION PRACTICES",600,700,"9,000","1,500"," "
1990,"MICHIGAN, CENTRAL",26,50,"   ",YEAR,"BEANS, DRY EDIBLE, OTHER","ALL PRODUCTION PRACTICES","34,000","37,000","565,000","1,660"," "
1990,"MICHIGAN, CENTRAL, GLADWIN",26,50,051,YEAR,"BEANS, DRY EDIBLE, OTHER","ALL PRODUCTION PRACTICES",600,600,"9,900","1,650"," "
1990,"MICHIGAN, NORTHWEST, OTHER (COMBINED) COUNTIES",26,20,"   ",YEAR,"BEANS, DRY EDIBLE, OTHER","ALL PRODUCTION PRACTICES",350,400,"5,900","1,690"," "
1990,"MICHIGAN, SOUTHEAST, LAPEER",26,90,087,YEAR,"BEANS, DRY EDIBLE, OTHER","ALL PRODUCTION PRACTICES",700,700,"12,000","1,710"," "
1990,"MICHIGAN, EAST CENTRAL, SAGINAW",26,60,145,YEAR,"BEANS, DRY EDIBLE, OTHER","ALL PRODUCTION PRACTICES","5,700","6,000","114,000","2,000"," "
1990,"MICHIGAN, SOUTH CENTRAL",26,80,"   ",YEAR,"BEANS, DRY EDIBLE, OTHER","ALL PRODUCTION PRACTICES","5,500","6,000","92,600","1,680"," "
1991,"MICHIGAN, CENTRAL, MONTCALM",26,50,117,YEAR,"BEANS, DRY EDIBLE, OTHER","ALL PRODUCTION PRACTICES","14,700","15,000","280,000","1,900"," "
1991,"MICHIGAN, SOUTH CENTRAL, INGHAM",26,80,065,YEAR,"BEANS, DRY EDIBLE, OTHER","ALL PRODUCTION PRACTICES",500,500,"9,000","1,800"," "
1991,"MICHIGAN, SOUTH CENTRAL, OTHER (COMBINED) COUNTIES",26,80,"   ",YEAR,"BEANS, DRY EDIBLE, OTHER","ALL PRODUCTION PRACTICES",200,200,"3,700","1,850"," "
1991,"MICHIGAN, SOUTH CENTRAL, SHIAWASSEE",26,80,155,YEAR,"BEANS, DRY EDIBLE, OTHER","ALL PRODUCTION PRACTICES",300,300,"6,000","2,000"," "
1991,"MICHIGAN, SOUTH CENTRAL, ST JOSEPH",26,80,149,YEAR,"BEANS, DRY EDIBLE, OTHER","ALL PRODUCTION PRACTICES","3,500","3,500","68,000","1,940"," "
1991,"MICHIGAN, SOUTHEAST, OTHER (COMBINED) COUNTIES",26,90,"   ",YEAR,"BEANS, DRY EDIBLE, OTHER","ALL PRODUCTION PRACTICES",100,100,"1,700","1,700"," "
1991,"MICHIGAN, SOUTHEAST",26,90,"   ",YEAR,"BEANS, DRY EDIBLE, OTHER","ALL PRODUCTION PRACTICES","1,000","1,000","18,000","1,800"," "
1991,"MICHIGAN, SOUTHWEST, KENT",26,70,081,YEAR,"BEANS, DRY EDIBLE, OTHER","ALL PRODUCTION PRACTICES","2,300","2,300","45,500","1,980"," "
1991,"MICHIGAN, CENTRAL, MIDLAND",26,50,111,YEAR,"BEANS, DRY EDIBLE, OTHER","ALL PRODUCTION PRACTICES","3,400","3,500","63,000","1,850"," "
1991,"MICHIGAN, SOUTHEAST, GENESEE",26,90,049,YEAR,"BEANS, DRY EDIBLE, OTHER","ALL PRODUCTION PRACTICES",300,300,"5,200","1,730"," "
1991,"MICHIGAN, SOUTHEAST, LAPEER",26,90,087,YEAR,"BEANS, DRY EDIBLE, OTHER","ALL PRODUCTION PRACTICES",300,300,"5,600","1,870"," "
1991,"MICHIGAN, SOUTH CENTRAL, EATON",26,80,045,YEAR,"BEANS, DRY EDIBLE, OTHER","ALL PRODUCTION PRACTICES","1,000","1,000","19,500","1,950"," "
1991,"MICHIGAN, SOUTHWEST",26,70,"   ",YEAR,"BEANS, DRY EDIBLE, OTHER","ALL PRODUCTION PRACTICES","2,600","2,600","51,000","1,960"," "
1991,"MICHIGAN, SOUTHEAST, MONROE",26,90,115,YEAR,"BEANS, DRY EDIBLE, OTHER","ALL PRODUCTION PRACTICES",300,300,"5,500","1,830"," "
1991,"MICHIGAN, SOUTHWEST, OTHER (COMBINED) COUNTIES",26,70,"   ",YEAR,"BEANS, DRY EDIBLE, OTHER","ALL PRODUCTION PRACTICES",300,300,"5,500","1,830"," "
1991,"MICHIGAN, SOUTH CENTRAL, CLINTON",26,80,037,YEAR,"BEANS, DRY EDIBLE, OTHER","ALL PRODUCTION PRACTICES",700,700,"13,500","1,930"," "
1991,"MICHIGAN, CENTRAL, MECOSTA",26,50,107,YEAR,"BEANS, DRY EDIBLE, OTHER","ALL PRODUCTION PRACTICES","2,300","2,500","36,400","1,580"," "
1991,"MICHIGAN, SOUTH CENTRAL, BRANCH",26,80,023,YEAR,"BEANS, DRY EDIBLE, OTHER","ALL PRODUCTION PRACTICES",300,300,"5,800","1,930"," "
1991,"MICHIGAN, SOUTH CENTRAL",26,80,"   ",YEAR,"BEANS, DRY EDIBLE, OTHER","ALL PRODUCTION PRACTICES","7,000","7,000","135,000","1,930"," "
1991,"MICHIGAN, UPPER PENINSULA",26,10,"   ",YEAR,"BEANS, DRY EDIBLE, OTHER","ALL PRODUCTION PRACTICES","1,900","1,900","26,500","1,390"," "
1991,"MICHIGAN, NORTHWEST, OTHER (COMBINED) COUNTIES",26,20,"   ",YEAR,"BEANS, DRY EDIBLE, OTHER","ALL PRODUCTION PRACTICES",200,200,"3,500","1,750"," "
1991,"MICHIGAN, NORTHWEST, MANISTEE",26,20,101,YEAR,"BEANS, DRY EDIBLE, OTHER","ALL PRODUCTION PRACTICES","1,200","1,200","23,000","1,920"," "
1991,"MICHIGAN, NORTHWEST, ANTRIM",26,20,009,YEAR,"BEANS, DRY EDIBLE, OTHER","ALL PRODUCTION PRACTICES",400,400,"7,500","1,880"," "
1991,"MICHIGAN, NORTHWEST",26,20,"   ",YEAR,"BEANS, DRY EDIBLE, OTHER","ALL PRODUCTION PRACTICES","1,800","1,800","34,000","1,890"," "
1991,"MICHIGAN, SOUTH CENTRAL, IONIA",26,80,067,YEAR,"BEANS, DRY EDIBLE, OTHER","ALL PRODUCTION PRACTICES",500,500,"9,500","1,900"," "
1991,"MICHIGAN, CENTRAL, ISABELLA",26,50,073,YEAR,"BEANS, DRY EDIBLE, OTHER","ALL PRODUCTION PRACTICES","2,900","3,000","54,000","1,860"," "
1991,"MICHIGAN, UPPER PENINSULA, DELTA",26,10,041,YEAR,"BEANS, DRY EDIBLE, OTHER","ALL PRODUCTION PRACTICES","1,700","1,700","23,800","1,400"," "
1991,"MICHIGAN, NORTHEAST, OTHER (COMBINED) COUNTIES",26,30,"   ",YEAR,"BEANS, DRY EDIBLE, OTHER","ALL PRODUCTION PRACTICES",300,300,"4,100","1,370"," "
1991,"MICHIGAN, UPPER PENINSULA, OTHER (COMBINED) COUNTIES",26,10,"   ",YEAR,"BEANS, DRY EDIBLE, OTHER","ALL PRODUCTION PRACTICES",200,200,"2,700","1,350"," "
1991,"MICHIGAN, WEST CENTRAL",26,40,"   ",YEAR,"BEANS, DRY EDIBLE, OTHER","ALL PRODUCTION PRACTICES",200,200,"3,500","1,750"," "
1991,"MICHIGAN, NORTHEAST, MONTMORENCY",26,30,119,YEAR,"BEANS, DRY EDIBLE, OTHER","ALL PRODUCTION PRACTICES",650,650,"10,400","1,600"," "
1991,"MICHIGAN, NORTHEAST, CHEBOYGAN",26,30,031,YEAR,"BEANS, DRY EDIBLE, OTHER","ALL PRODUCTION PRACTICES",450,450,"6,500","1,440"," "
1991,"MICHIGAN, NORTHEAST, ALPENA",26,30,007,YEAR,"BEANS, DRY EDIBLE, OTHER","ALL PRODUCTION PRACTICES","2,200","2,500","25,000","1,140"," "
1991,"MICHIGAN, WEST CENTRAL, OTHER (COMBINED) COUNTIES",26,40,"   ",YEAR,"BEANS, DRY EDIBLE, OTHER","ALL PRODUCTION PRACTICES",200,200,"3,500","1,750"," "
1991,"MICHIGAN, CENTRAL, GRATIOT",26,50,057,YEAR,"BEANS, DRY EDIBLE, OTHER","ALL PRODUCTION PRACTICES","9,900","10,000","200,000","2,020"," "
1991,"MICHIGAN, NORTHEAST",26,30,"   ",YEAR,"BEANS, DRY EDIBLE, OTHER","ALL PRODUCTION PRACTICES","7,900","8,500","100,000","1,270"," "
1991,"MICHIGAN, CENTRAL, GLADWIN",26,50,051,YEAR,"BEANS, DRY EDIBLE, OTHER","ALL PRODUCTION PRACTICES",800,900,"10,000","1,250"," "
1991,"MICHIGAN, EAST CENTRAL, TUSCOLA",26,60,157,YEAR,"BEANS, DRY EDIBLE, OTHER","ALL PRODUCTION PRACTICES","9,500","10,000","185,000","1,950"," "
1991,"US TOTAL","  ","  ","   ",YEAR,"BEANS, DRY EDIBLE, OTHER","ALL PRODUCTION PRACTICES","70,500","74,600","1,132,000","1,606"," "
1991,"MICHIGAN, EAST CENTRAL, SANILAC",26,60,151,YEAR,"BEANS, DRY EDIBLE, OTHER","ALL PRODUCTION PRACTICES","3,900","4,000","75,000","1,920"," "
1991,"MICHIGAN, EAST CENTRAL, SAGINAW",26,60,145,YEAR,"BEANS, DRY EDIBLE, OTHER","ALL PRODUCTION PRACTICES","4,900","5,000","100,000","2,040"," "
1991,"MICHIGAN, EAST CENTRAL, HURON",26,60,063,YEAR,"BEANS, DRY EDIBLE, OTHER","ALL PRODUCTION PRACTICES","9,500","10,000","190,000","2,000"," "
1991,"MICHIGAN, CENTRAL",26,50,"   ",YEAR,"BEANS, DRY EDIBLE, OTHER","ALL PRODUCTION PRACTICES","34,100","35,000","645,000","1,890"," "
1991,"MICHIGAN, EAST CENTRAL, BAY",26,60,017,YEAR,"BEANS, DRY EDIBLE, OTHER","ALL PRODUCTION PRACTICES","8,700","9,000","170,000","1,950"," "
1991,"MICHIGAN, EAST CENTRAL, ARENAC",26,60,011,YEAR,"BEANS, DRY EDIBLE, OTHER","ALL PRODUCTION PRACTICES","4,000","4,000","80,000","2,000"," "
1991,MICHIGAN,26,"  ","   ",YEAR,"BEANS, DRY EDIBLE, OTHER","ALL PRODUCTION PRACTICES","2,000","2,000","39,000","1,950"," "
1991,"MICHIGAN, EAST CENTRAL",26,60,"   ",YEAR,"BEANS, DRY EDIBLE, OTHER","ALL PRODUCTION PRACTICES","40,500","42,000","800,000","1,980"," "
1991,"MICHIGAN, CENTRAL, OTHER (COMBINED) COUNTIES",26,50,"   ",YEAR,"BEANS, DRY EDIBLE, OTHER","ALL PRODUCTION PRACTICES",100,100,"1,600","1,600"," "
1991,"MICHIGAN, NORTHEAST, PRESQUE ISLE",26,30,141,YEAR,"BEANS, DRY EDIBLE, OTHER","ALL PRODUCTION PRACTICES","4,300","4,600","54,000","1,260"," "
1992,"MICHIGAN, CENTRAL",26,50,"   ",YEAR,"BEANS, DRY EDIBLE, OTHER","ALL PRODUCTION PRACTICES","34,500","36,000","445,000","1,290"," "
1992,"MICHIGAN, WEST CENTRAL",26,40,"   ",YEAR,"BEANS, DRY EDIBLE, OTHER","ALL PRODUCTION PRACTICES",300,400,"3,000","1,000"," "
1992,"MICHIGAN, EAST CENTRAL, BAY",26,60,017,YEAR,"BEANS, DRY EDIBLE, OTHER","ALL PRODUCTION PRACTICES","10,900","11,000","150,000","1,380"," "
1992,"MICHIGAN, SOUTHEAST, LAPEER",26,90,087,YEAR,"BEANS, DRY EDIBLE, OTHER","ALL PRODUCTION PRACTICES",400,400,"4,500","1,130"," "
1992,"MICHIGAN, SOUTHWEST, OTHER (COMBINED) COUNTIES",26,70,"   ",YEAR,"BEANS, DRY EDIBLE, OTHER","ALL PRODUCTION PRACTICES",300,300,"3,400","1,130"," "
1992,"MICHIGAN, EAST CENTRAL, HURON",26,60,063,YEAR,"BEANS, DRY EDIBLE, OTHER","ALL PRODUCTION PRACTICES","12,700","13,000","180,000","1,420"," "
1992,"MICHIGAN, CENTRAL, GLADWIN",26,50,051,YEAR,"BEANS, DRY EDIBLE, OTHER","ALL PRODUCTION PRACTICES",700,700,"5,600",800," "
1992,"MICHIGAN, EAST CENTRAL, SAGINAW",26,60,145,YEAR,"BEANS, DRY EDIBLE, OTHER","ALL PRODUCTION PRACTICES","4,800","5,000","75,000","1,560"," "
1992,"MICHIGAN, CENTRAL, GRATIOT",26,50,057,YEAR,"BEANS, DRY EDIBLE, OTHER","ALL PRODUCTION PRACTICES","9,500","10,000","140,000","1,470"," "
1992,"MICHIGAN, EAST CENTRAL, SANILAC",26,60,151,YEAR,"BEANS, DRY EDIBLE, OTHER","ALL PRODUCTION PRACTICES","3,800","4,000","40,000","1,050"," "
1992,"MICHIGAN, UPPER PENINSULA, OTHER (COMBINED) COUNTIES",26,10,"   ",YEAR,"BEANS, DRY EDIBLE, OTHER","ALL PRODUCTION PRACTICES",150,200,"1,100",730," "
1992,"MICHIGAN, EAST CENTRAL, TUSCOLA",26,60,157,YEAR,"BEANS, DRY EDIBLE, OTHER","ALL PRODUCTION PRACTICES","10,900","11,000","160,000","1,470"," "
1992,"MICHIGAN, SOUTHWEST, KENT",26,70,081,YEAR,"BEANS, DRY EDIBLE, OTHER","ALL PRODUCTION PRACTICES","2,300","2,400","29,600","1,290"," "
1992,"MICHIGAN, NORTHEAST",26,30,"   ",YEAR,"BEANS, DRY EDIBLE, OTHER","ALL PRODUCTION PRACTICES","6,400","7,800","54,500",850," "
1992,"MICHIGAN, NORTHEAST, ALPENA",26,30,007,YEAR,"BEANS, DRY EDIBLE, OTHER","ALL PRODUCTION PRACTICES","2,300","2,600","29,000","1,260"," "
1992,"MICHIGAN, SOUTHWEST",26,70,"   ",YEAR,"BEANS, DRY EDIBLE, OTHER","ALL PRODUCTION PRACTICES","2,600","2,700","33,000","1,270"," "
1992,"MICHIGAN, CENTRAL, ISABELLA",26,50,073,YEAR,"BEANS, DRY EDIBLE, OTHER","ALL PRODUCTION PRACTICES","2,500","2,600","32,000","1,280"," "
1992,"MICHIGAN, NORTHEAST, OTHER (COMBINED) COUNTIES",26,30,"   ",YEAR,"BEANS, DRY EDIBLE, OTHER","ALL PRODUCTION PRACTICES",700,800,"5,500",790," "
1992,"MICHIGAN, SOUTH CENTRAL, EATON",26,80,045,YEAR,"BEANS, DRY EDIBLE, OTHER","ALL PRODUCTION PRACTICES",700,800,"9,000","1,290"," "
1992,"US TOTAL","  ","  ","   ",YEAR,"BEANS, DRY EDIBLE, OTHER","ALL PRODUCTION PRACTICES","37,500","39,700","571,000","1,523"," "
