YEAR,LOCATION,"STATE ANSI","ASD CODE","COUNTY ANSI","REFERENCE PERIOD",COMMODITY,"AREA HARVESTED in ACRES","AREA PLANTED in ACRES","PRODUCTION in TONS","YIELD in TONS / ACRE","PRODUCTION in $","PRICE RECEIVED in $ / TON","PRODUCTION in $ / TON"
1995,"MICHIGAN, SOUTHEAST, MONROE",26,90,115,YEAR,SUGARBEETS,650,700,"10,300",15.8," "," "," "
1995,"MICHIGAN, SOUTHEAST, LENAWEE",26,90,091,YEAR,SUGARBEETS,"2,500","2,600","43,500",17.4," "," "," "
1995,"MICHIGAN, SOUTHEAST",26,90,"   ",YEAR,SUGARBEETS,"5,550","5,800","90,000",16.2," "," "," "
1995,"MICHIGAN, OTHER DISTRICTS, ALL COUNTIES",26,98,"   ",YEAR,SUGARBEETS,150,200,"2,000",13.3," "," "," "
1995,"MICHIGAN, EAST CENTRAL, TUSCOLA",26,60,157,YEAR,SUGARBEETS,"37,000","37,000","575,000",15.5," "," "," "
1995,"MICHIGAN, EAST CENTRAL, SANILAC",26,60,151,YEAR,SUGARBEETS,"19,000","19,000","251,000",13.2," "," "," "
1995,"MICHIGAN, EAST CENTRAL, SAGINAW",26,60,145,YEAR,SUGARBEETS,"21,400","22,000","357,000",16.7," "," "," "
1995,"MICHIGAN, EAST CENTRAL, HURON",26,60,063,YEAR,SUGARBEETS,"45,800","46,000","717,000",15.7," "," "," "
1995,"MICHIGAN, EAST CENTRAL, BAY",26,60,017,YEAR,SUGARBEETS,"23,000","23,100","383,000",16.7," "," "," "
1995,"MICHIGAN, EAST CENTRAL, ARENAC",26,60,011,YEAR,SUGARBEETS,"4,800","4,900","80,000",16.7," "," "," "
1995,"MICHIGAN, EAST CENTRAL",26,60,"   ",YEAR,SUGARBEETS,"151,000","152,000","2,363,000",15.6," "," "," "
1995,"MICHIGAN, CENTRAL, OTHER (COMBINED) COUNTIES",26,50,"   ",YEAR,SUGARBEETS,600,700,"7,500",12.5," "," "," "
1995,"MICHIGAN, CENTRAL, MIDLAND",26,50,111,YEAR,SUGARBEETS,"5,600","5,700","81,000",14.5," "," "," "
1995,"MICHIGAN, CENTRAL, ISABELLA",26,50,073,YEAR,SUGARBEETS,"1,700","1,750","26,500",15.6," "," "," "
1995,"MICHIGAN, CENTRAL, GRATIOT",26,50,057,YEAR,SUGARBEETS,"22,100","22,500","377,000",17.1," "," "," "
1995,"MICHIGAN, CENTRAL, GLADWIN",26,50,051,YEAR,SUGARBEETS,"1,300","1,350","23,000",17.7," "," "," "
1995,"MICHIGAN, CENTRAL",26,50,"   ",YEAR,SUGARBEETS,"31,300","32,000","515,000",16.5," "," "," "
1995,MICHIGAN,26,"  ","   ","MARKETING YEAR",SUGARBEETS," "," "," "," "," ",33.8," "
1995,MICHIGAN,26,"  ","   ",YEAR,SUGARBEETS,"188,000","190,000","2,970,000",15.8,"100,386,000"," "," "
1995,"US TOTAL","  ","  ","   ","MARKETING YEAR",SUGARBEETS," "," "," "," "," ",38.1," "
1996,"US TOTAL","  ","  ","   ",YEAR,SUGARBEETS,"1,323,300","1,368,400","26,680,000",20.2,"1,211,001,000"," "," "
1996,"MICHIGAN, SOUTHEAST",26,90,"   ",YEAR,SUGARBEETS,"3,800","4,000","62,500",16.4," "," "," "
1996,"MICHIGAN, SOUTHEAST, OTHER (COMBINED) COUNTIES",26,90,"   ",YEAR,SUGARBEETS,600,650,"8,500",14.2," "," "," "
1996,"MICHIGAN, SOUTHEAST, LENAWEE",26,90,091,YEAR,SUGARBEETS,"1,500","1,600","27,000",18," "," "," "
1996,"US TOTAL","  ","  ","   ","MARKETING YEAR",SUGARBEETS," "," "," "," "," ",38.8," "
1996,"MICHIGAN, OTHER DISTRICTS, ALL COUNTIES",26,98,"   ",YEAR,SUGARBEETS,200,300,"1,500",7.5," "," "," "
1996,"MICHIGAN, EAST CENTRAL, TUSCOLA",26,60,157,YEAR,SUGARBEETS,"22,000","27,000","337,000",15.3," "," "," "
1996,"MICHIGAN, EAST CENTRAL, SANILAC",26,60,151,YEAR,SUGARBEETS,"11,500","13,500","153,000",13.3," "," "," "
1996,"MICHIGAN, EAST CENTRAL, SAGINAW",26,60,145,YEAR,SUGARBEETS,"12,500","16,500","190,000",15.2," "," "," "
1996,"MICHIGAN, EAST CENTRAL, HURON",26,60,063,YEAR,SUGARBEETS,"43,000","45,000","710,000",16.5," "," "," "
1996,"MICHIGAN, EAST CENTRAL, BAY",26,60,017,YEAR,SUGARBEETS,"14,000","17,600","190,000",13.6," "," "," "
1996,"MICHIGAN, EAST CENTRAL, ARENAC",26,60,011,YEAR,SUGARBEETS,"4,000","4,400","50,000",12.5," "," "," "
1996,"MICHIGAN, EAST CENTRAL",26,60,"   ",YEAR,SUGARBEETS,"107,000","124,000","1,630,000",15.2," "," "," "
1996,"MICHIGAN, CENTRAL, MONTCALM",26,50,117,YEAR,SUGARBEETS,400,500,"4,500",11.3," "," "," "
1996,"MICHIGAN, CENTRAL, MIDLAND",26,50,111,YEAR,SUGARBEETS,"3,400","4,000","44,500",13.1," "," "," "
1996,"MICHIGAN, CENTRAL, ISABELLA",26,50,073,YEAR,SUGARBEETS,"1,200","1,600","15,000",12.5," "," "," "
1996,"MICHIGAN, CENTRAL, GRATIOT",26,50,057,YEAR,SUGARBEETS,"13,000","17,500","191,000",14.7," "," "," "
1996,"MICHIGAN, CENTRAL, GLADWIN",26,50,051,YEAR,SUGARBEETS,"1,000","1,100","14,000",14," "," "," "
1996,"MICHIGAN, CENTRAL",26,50,"   ",YEAR,SUGARBEETS,"19,000","24,700","269,000",14.2," "," "," "
1996,MICHIGAN,26,"  ","   ","MARKETING YEAR",SUGARBEETS," "," "," "," "," ",41.6," "
1996,MICHIGAN,26,"  ","   ",YEAR,SUGARBEETS,"130,000","153,000","1,963,000",15.1,"81,661,000"," "," "
1996,"MICHIGAN, SOUTHEAST, ST CLAIR",26,90,147,YEAR,SUGARBEETS,"1,700","1,750","27,000",15.9," "," "," "
1997,"US TOTAL","  ","  ","   ",YEAR,SUGARBEETS,"1,428,300","1,459,300","29,886,000",20.9,"1,160,029,000"," "," "
1997,"MICHIGAN, SOUTHEAST, ST CLAIR",26,90,147,YEAR,SUGARBEETS,"1,500","1,600","37,200",24.8," "," "," "
1997,"MICHIGAN, SOUTHEAST, LENAWEE",26,90,091,YEAR,SUGARBEETS,"1,500","1,550","28,500",19," "," "," "
1997,"MICHIGAN, SOUTHEAST",26,90,"   ",YEAR,SUGARBEETS,"3,500","3,700","75,000",21.4," "," "," "
1997,"MICHIGAN, OTHER DISTRICTS, ALL COUNTIES",26,98,"   ",YEAR,SUGARBEETS,100,100,"3,000",30," "," "," "
1997,"MICHIGAN, EAST CENTRAL, TUSCOLA",26,60,157,YEAR,SUGARBEETS,"29,300","29,700","563,000",19.2," "," "," "
1997,"MICHIGAN, EAST CENTRAL, SANILAC",26,60,151,YEAR,SUGARBEETS,"15,300","15,700","280,000",18.3," "," "," "
1997,"MICHIGAN, EAST CENTRAL, SAGINAW",26,60,145,YEAR,SUGARBEETS,"17,400","17,500","338,000",19.4," "," "," "
1997,"MICHIGAN, EAST CENTRAL, HURON",26,60,063,YEAR,SUGARBEETS,"46,800","47,500","926,000",19.8," "," "," "
1997,"MICHIGAN, EAST CENTRAL, BAY",26,60,017,YEAR,SUGARBEETS,"18,600","18,900","340,000",18.3," "," "," "
1997,"MICHIGAN, EAST CENTRAL, ARENAC",26,60,011,YEAR,SUGARBEETS,"4,600","4,700","83,000",18," "," "," "
1997,"MICHIGAN, EAST CENTRAL",26,60,"   ",YEAR,SUGARBEETS,"132,000","134,000","2,530,000",19.2," "," "," "
1997,"MICHIGAN, CENTRAL, OTHER (COMBINED) COUNTIES",26,50,"   ",YEAR,SUGARBEETS,500,550,"6,300",12.6," "," "," "
1997,"MICHIGAN, CENTRAL, MIDLAND",26,50,111,YEAR,SUGARBEETS,"4,000","4,100","65,600",16.4," "," "," "
1997,"MICHIGAN, CENTRAL, ISABELLA",26,50,073,YEAR,SUGARBEETS,"1,600","1,650","25,200",15.8," "," "," "
1997,"MICHIGAN, CENTRAL, GRATIOT",26,50,057,YEAR,SUGARBEETS,"17,300","17,900","316,000",18.3," "," "," "
1997,"MICHIGAN, CENTRAL, GLADWIN",26,50,051,YEAR,SUGARBEETS,"1,000","1,000","18,900",18.9," "," "," "
1997,"MICHIGAN, CENTRAL",26,50,"   ",YEAR,SUGARBEETS,"24,400","25,200","432,000",17.7," "," "," "
1997,MICHIGAN,26,"  ","   ","MARKETING YEAR",SUGARBEETS," "," "," "," "," ",38.5," "
1997,MICHIGAN,26,"  ","   ",YEAR,SUGARBEETS,"160,000","163,000","3,040,000",19,"117,040,000"," "," "
1997,"US TOTAL","  ","  ","   ","MARKETING YEAR",SUGARBEETS," "," "," "," "," ",36.4," "
1997,"MICHIGAN, SOUTHEAST, OTHER (COMBINED) COUNTIES",26,90,"   ",YEAR,SUGARBEETS,500,550,"9,300",18.6," "," "," "
1998,"MICHIGAN, EAST CENTRAL",26,60,"   ",YEAR,SUGARBEETS,"144,000","147,000","2,330,000",16.2," "," "," "
1998,"US TOTAL","  ","  ","   ",YEAR,SUGARBEETS,"1,450,700","1,497,800","32,499,000",22.4,"1,181,494,000"," "," "
1998,"MICHIGAN, SOUTHEAST, LENAWEE",26,90,091,YEAR,SUGARBEETS,"1,200","1,300","25,000",20.8," "," "," "
1998,"MICHIGAN, SOUTHEAST",26,90,"   ",YEAR,SUGARBEETS,"3,200","3,400","62,000",19.4," "," "," "
1998,"MICHIGAN, OTHER DISTRICTS, ALL COUNTIES",26,98,"   ",YEAR,SUGARBEETS,300,300,"3,000",10," "," "," "
1998,"MICHIGAN, EAST CENTRAL, TUSCOLA",26,60,157,YEAR,SUGARBEETS,"30,300","31,000","482,000",15.9," "," "," "
1998,"MICHIGAN, EAST CENTRAL, SANILAC",26,60,151,YEAR,SUGARBEETS,"18,000","19,000","294,000",16.3," "," "," "
1998,"MICHIGAN, EAST CENTRAL, SAGINAW",26,60,145,YEAR,SUGARBEETS,"17,900","18,500","292,000",16.3," "," "," "
1998,"MICHIGAN, EAST CENTRAL, HURON",26,60,063,YEAR,SUGARBEETS,"52,900","53,000","889,000",16.8," "," "," "
1998,"MICHIGAN, EAST CENTRAL, BAY",26,60,017,YEAR,SUGARBEETS,"20,000","20,500","304,000",15.2," "," "," "
1998,"MICHIGAN, EAST CENTRAL, ARENAC",26,60,011,YEAR,SUGARBEETS,"4,900","5,000","69,000",14.1," "," "," "
1998,"MICHIGAN, SOUTHEAST, OTHER (COMBINED) COUNTIES",26,90,"   ",YEAR,SUGARBEETS,500,500,"9,000",18," "," "," "
1998,"MICHIGAN, CENTRAL, MONTCALM",26,50,117,YEAR,SUGARBEETS,800,800,"13,500",16.9," "," "," "
1998,"MICHIGAN, CENTRAL, MIDLAND",26,50,111,YEAR,SUGARBEETS,"4,000","4,000","57,000",14.3," "," "," "
1998,"MICHIGAN, CENTRAL, ISABELLA",26,50,073,YEAR,SUGARBEETS,"1,900","2,200","24,000",12.6," "," "," "
1998,"MICHIGAN, CENTRAL, GRATIOT",26,50,057,YEAR,SUGARBEETS,"17,500","18,000","262,000",15," "," "," "
1998,"MICHIGAN, CENTRAL, GLADWIN",26,50,051,YEAR,SUGARBEETS,"1,300","1,300","16,500",12.7," "," "," "
1998,"MICHIGAN, CENTRAL",26,50,"   ",YEAR,SUGARBEETS,"25,500","26,300","373,000",14.6," "," "," "
1998,MICHIGAN,26,"  ","   ","MARKETING YEAR",SUGARBEETS," "," "," "," "," ",36.7," "
1998,MICHIGAN,26,"  ","   ",YEAR,SUGARBEETS,"173,000","177,000","2,768,000",16,"101,586,000"," "," "
1998,"US TOTAL","  ","  ","   ","MARKETING YEAR",SUGARBEETS," "," "," "," "," ",37.2," "
1998,"MICHIGAN, SOUTHEAST, ST CLAIR",26,90,147,YEAR,SUGARBEETS,"1,500","1,600","28,000",18.7," "," "," "
1999,"US TOTAL","  ","  ","   ",YEAR,SUGARBEETS,"1,527,300","1,560,600","33,420,000",21.9,"1,242,895,000"," "," "
1999,"MICHIGAN, SOUTHEAST, ST CLAIR",26,90,147,YEAR,SUGARBEETS,"1,200","1,200","21,000",17.5," "," "," "
1999,"MICHIGAN, SOUTHEAST, OTHER (COMBINED) COUNTIES",26,90,"   ",YEAR,SUGARBEETS,950,"1,000","14,000",14.7," "," "," "
1999,"MICHIGAN, SOUTHEAST, LENAWEE",26,90,091,YEAR,SUGARBEETS,"1,250","1,300","21,000",16.8," "," "," "
1999,"MICHIGAN, SOUTHEAST",26,90,"   ",YEAR,SUGARBEETS,"3,400","3,500","56,000",16.5," "," "," "
1999,"MICHIGAN, SOUTH CENTRAL, CLINTON",26,80,037,YEAR,SUGARBEETS,500,500,"8,000",16," "," "," "
1999,"MICHIGAN, SOUTH CENTRAL",26,80,"   ",YEAR,SUGARBEETS,500,500,"8,000",16," "," "," "
1999,"MICHIGAN, OTHER DISTRICTS, ALL COUNTIES",26,98,"   ",YEAR,SUGARBEETS,300,300,"3,000",10," "," "," "
1999,"MICHIGAN, EAST CENTRAL, TUSCOLA",26,60,157,YEAR,SUGARBEETS,"30,500","31,000","590,000",19.3," "," "," "
1999,"MICHIGAN, EAST CENTRAL, SANILAC",26,60,151,YEAR,SUGARBEETS,"21,500","21,500","400,000",18.6," "," "," "
1999,"MICHIGAN, EAST CENTRAL, SAGINAW",26,60,145,YEAR,SUGARBEETS,"20,500","21,000","375,000",18.3," "," "," "
1999,"MICHIGAN, EAST CENTRAL, HURON",26,60,063,YEAR,SUGARBEETS,"57,500","58,000","1,110,000",19.3," "," "," "
1999,"MICHIGAN, EAST CENTRAL, BAY",26,60,017,YEAR,SUGARBEETS,"21,000","21,500","380,000",18.1," "," "," "
1999,"US TOTAL","  ","  ","   ","MARKETING YEAR",SUGARBEETS," "," "," "," "," ",34.2," "
1999,"MICHIGAN, EAST CENTRAL",26,60,"   ",YEAR,SUGARBEETS,"156,000","158,000","2,935,000",18.8," "," "," "
1999,"MICHIGAN, CENTRAL, OTHER (COMBINED) COUNTIES",26,50,"   ",YEAR,SUGARBEETS,200,200,"4,000",20," "," "," "
1999,"MICHIGAN, CENTRAL, MONTCALM",26,50,117,YEAR,SUGARBEETS,"1,200","1,300","25,000",20.8," "," "," "
1999,"MICHIGAN, CENTRAL, MIDLAND",26,50,111,YEAR,SUGARBEETS,"4,100","4,400","68,000",16.6," "," "," "
1999,"MICHIGAN, CENTRAL, ISABELLA",26,50,073,YEAR,SUGARBEETS,"2,200","2,700","35,000",15.9," "," "," "
1999,"MICHIGAN, CENTRAL, GRATIOT",26,50,057,YEAR,SUGARBEETS,"20,500","21,500","375,000",18.3," "," "," "
1999,"MICHIGAN, CENTRAL, GLADWIN",26,50,051,YEAR,SUGARBEETS,"1,600","1,600","25,000",15.6," "," "," "
1999,"MICHIGAN, CENTRAL",26,50,"   ",YEAR,SUGARBEETS,"29,800","31,700","532,000",17.9," "," "," "
1999,MICHIGAN,26,"  ","   ","MARKETING YEAR",SUGARBEETS," "," "," "," "," ",32.8," "
1999,MICHIGAN,26,"  ","   ",YEAR,SUGARBEETS,"190,000","194,000","3,534,000",18.6,"115,915,000"," "," "
1999,"MICHIGAN, EAST CENTRAL, ARENAC",26,60,011,YEAR,SUGARBEETS,"5,000","5,000","80,000",16," "," "," "
2000,"US TOTAL","  ","  ","   ","MARKETING YEAR",SUGARBEETS," "," "," "," "," ",39.8," "
2000,"MICHIGAN, SOUTHEAST, ST CLAIR",26,90,147,YEAR,SUGARBEETS,"1,300","1,600","25,000",19.2," "," "," "
2000,"MICHIGAN, SOUTHEAST, OTHER (COMBINED) COUNTIES",26,90,"   ",YEAR,SUGARBEETS,500,700,"17,000",34," "," "," "
2000,"MICHIGAN, SOUTHEAST, LENAWEE",26,90,091,YEAR,SUGARBEETS,900,"1,300","20,000",22.2," "," "," "
2000,"MICHIGAN, SOUTHEAST, GENESEE",26,90,049,YEAR,SUGARBEETS,800,900,"17,000",21.3," "," "," "
2000,"MICHIGAN, SOUTHEAST",26,90,"   ",YEAR,SUGARBEETS,"3,500","4,500","79,000",22.6," "," "," "
2000,"MICHIGAN, OTHER DISTRICTS, ALL COUNTIES",26,98,"   ",YEAR,SUGARBEETS,800,"1,000","19,000",23.8," "," "," "
2000,"MICHIGAN, EAST CENTRAL, TUSCOLA",26,60,157,YEAR,SUGARBEETS,"26,000","28,000","550,000",21.2," "," "," "
2000,"MICHIGAN, EAST CENTRAL, SANILAC",26,60,151,YEAR,SUGARBEETS,"19,000","21,500","400,000",21.1," "," "," "
2000,"MICHIGAN, EAST CENTRAL, SAGINAW",26,60,145,YEAR,SUGARBEETS,"17,500","20,000","385,000",22," "," "," "
2000,"MICHIGAN, EAST CENTRAL, HURON",26,60,063,YEAR,SUGARBEETS,"51,500","57,000","1,080,000",21," "," "," "
2000,"MICHIGAN, EAST CENTRAL, BAY",26,60,017,YEAR,SUGARBEETS,"18,500","20,500","340,000",18.4," "," "," "
2000,"MICHIGAN, EAST CENTRAL, ARENAC",26,60,011,YEAR,SUGARBEETS,"5,000","5,000","85,000",17," "," "," "
2000,"MICHIGAN, EAST CENTRAL",26,60,"   ",YEAR,SUGARBEETS,"137,500","152,000","2,840,000",20.7," "," "," "
2000,"MICHIGAN, CENTRAL, OTHER (COMBINED) COUNTIES",26,50,"   ",YEAR,SUGARBEETS,"1,400","1,600","30,000",21.4," "," "," "
2000,"MICHIGAN, CENTRAL, MIDLAND",26,50,111,YEAR,SUGARBEETS,"3,600","4,000","66,000",18.3," "," "," "
2000,"MICHIGAN, CENTRAL, ISABELLA",26,50,073,YEAR,SUGARBEETS,"2,300","2,500","44,000",19.1," "," "," "
2000,"MICHIGAN, CENTRAL, GRATIOT",26,50,057,YEAR,SUGARBEETS,"15,500","21,800","302,000",19.5," "," "," "
2000,"MICHIGAN, CENTRAL, GLADWIN",26,50,051,YEAR,SUGARBEETS,"1,400","1,600","23,000",16.4," "," "," "
2000,"MICHIGAN, CENTRAL",26,50,"   ",YEAR,SUGARBEETS,"24,200","31,500","465,000",19.2," "," "," "
2000,MICHIGAN,26,"  ","   ","MARKETING YEAR",SUGARBEETS," "," "," "," "," ",31.3," "
2000,MICHIGAN,26,"  ","   ",YEAR,SUGARBEETS,"166,000","189,000","3,403,000",20.5,"106,514,000"," "," "
2000,"US TOTAL","  ","  ","   ",YEAR,SUGARBEETS,"1,373,000","1,564,200","32,541,000",23.7,"1,113,030,000"," "," "
2001,"MICHIGAN, EAST CENTRAL, ARENAC",26,60,011,YEAR,SUGARBEETS,"4,500","4,900","85,000",18.9," "," "," "
2001,"US TOTAL","  ","  ","   ",YEAR,SUGARBEETS,"1,241,100","1,365,300","25,708,000",20.7,"1,023,054,000"," "," "
2001,"MICHIGAN, SOUTHEAST, OTHER (COMBINED) COUNTIES",26,90,"   ",YEAR,SUGARBEETS,"1,100","1,400","24,000",21.8," "," "," "
2001,"MICHIGAN, SOUTHEAST, GENESEE",26,90,049,YEAR,SUGARBEETS,700,700,"15,000",21.4," "," "," "
2001,"MICHIGAN, SOUTHEAST",26,90,"   ",YEAR,SUGARBEETS,"2,600","3,000","56,000",21.5," "," "," "
2001,"MICHIGAN, OTHER DISTRICTS, ALL COUNTIES",26,98,"   ",YEAR,SUGARBEETS,900,"1,000","19,000",21.1," "," "," "
2001,"MICHIGAN, EAST CENTRAL, TUSCOLA",26,60,157,YEAR,SUGARBEETS,"24,000","25,000","460,000",19.2," "," "," "
2001,"MICHIGAN, EAST CENTRAL, SANILAC",26,60,151,YEAR,SUGARBEETS,"18,000","19,600","350,000",19.4," "," "," "
2001,"MICHIGAN, EAST CENTRAL, SAGINAW",26,60,145,YEAR,SUGARBEETS,"18,000","19,300","360,000",20," "," "," "
2001,"MICHIGAN, EAST CENTRAL, HURON",26,60,063,YEAR,SUGARBEETS,"52,000","57,000","1,050,000",20.2," "," "," "
2001,"MICHIGAN, EAST CENTRAL, BAY",26,60,017,YEAR,SUGARBEETS,"19,500","20,200","355,000",18.2," "," "," "
2001,"MICHIGAN, SOUTHEAST, ST CLAIR",26,90,147,YEAR,SUGARBEETS,800,900,"17,000",21.3," "," "," "
2001,"MICHIGAN, EAST CENTRAL",26,60,"   ",YEAR,SUGARBEETS,"136,000","146,000","2,660,000",19.6," "," "," "
2001,"MICHIGAN, CENTRAL, OTHER (COMBINED) COUNTIES",26,50,"   ",YEAR,SUGARBEETS,"1,300","1,600","25,000",19.2," "," "," "
2001,"MICHIGAN, CENTRAL, MIDLAND",26,50,111,YEAR,SUGARBEETS,"3,500","3,900","63,000",18," "," "," "
2001,"MICHIGAN, CENTRAL, ISABELLA",26,50,073,YEAR,SUGARBEETS,"2,000","2,300","28,000",14," "," "," "
2001,"MICHIGAN, CENTRAL, GRATIOT",26,50,057,YEAR,SUGARBEETS,"18,500","20,800","349,000",18.9," "," "," "
2001,"MICHIGAN, CENTRAL, GLADWIN",26,50,051,YEAR,SUGARBEETS,"1,200","1,400","20,000",16.7," "," "," "
2001,"MICHIGAN, CENTRAL",26,50,"   ",YEAR,SUGARBEETS,"26,500","30,000","485,000",18.3," "," "," "
2001,MICHIGAN,26,"  ","   ","MARKETING YEAR",SUGARBEETS," "," "," "," "," ",34.8," "
2001,MICHIGAN,26,"  ","   ",YEAR,SUGARBEETS,"166,000","180,000","3,220,000",19.4,"112,056,000"," "," "
2001,"US TOTAL","  ","  ","   ","MARKETING YEAR",SUGARBEETS," "," "," "," "," ",39.6," "
2002,"US TOTAL","  ","  ","   ","MARKETING YEAR",SUGARBEETS," "," "," "," "," ",39.6," "
2002,"US TOTAL","  ","  ","   ",YEAR,SUGARBEETS,"1,360,700","1,427,300","27,707,000",20.4,"1,097,329,000"," "," "
2002,"MICHIGAN, SOUTHEAST, ST CLAIR",26,90,147,YEAR,SUGARBEETS,800,800,"15,000",18.8," "," "," "
2002,"MICHIGAN, SOUTHEAST, OTHER (COMBINED) COUNTIES",26,90,"   ",YEAR,SUGARBEETS,"1,200","1,200","18,000",15," "," "," "
2002,"MICHIGAN, SOUTHEAST, LAPEER",26,90,087,YEAR,SUGARBEETS,700,700,"15,000",21.4," "," "," "
2002,"MICHIGAN, SOUTHEAST, GENESEE",26,90,049,YEAR,SUGARBEETS,800,800,"16,000",20," "," "," "
2002,"MICHIGAN, SOUTHEAST",26,90,"   ",YEAR,SUGARBEETS,"3,500","3,500","64,000",18.3," "," "," "
2002,"MICHIGAN, OTHER DISTRICTS, ALL COUNTIES",26,98,"   ",YEAR,SUGARBEETS,"1,500","1,500","23,000",15.3," "," "," "
2002,"MICHIGAN, EAST CENTRAL, TUSCOLA",26,60,157,YEAR,SUGARBEETS,"23,000","24,000","420,000",18.3," "," "," "
2002,"MICHIGAN, EAST CENTRAL, SANILAC",26,60,151,YEAR,SUGARBEETS,"20,000","20,000","350,000",17.5," "," "," "
2002,"MICHIGAN, EAST CENTRAL, SAGINAW",26,60,145,YEAR,SUGARBEETS,"19,000","20,000","330,000",17.4," "," "," "
2002,"MICHIGAN, EAST CENTRAL, HURON",26,60,063,YEAR,SUGARBEETS,"57,000","57,000","1,130,000",19.8," "," "," "
2002,"MICHIGAN, EAST CENTRAL, BAY",26,60,017,YEAR,SUGARBEETS,"21,000","21,000","345,000",16.4," "," "," "
2002,"MICHIGAN, EAST CENTRAL, ARENAC",26,60,011,YEAR,SUGARBEETS,"5,000","5,000","90,000",18," "," "," "
2002,"MICHIGAN, EAST CENTRAL",26,60,"   ",YEAR,SUGARBEETS,"145,000","147,000","2,665,000",18.4," "," "," "
2002,"MICHIGAN, CENTRAL, OTHER (COMBINED) COUNTIES",26,50,"   ",YEAR,SUGARBEETS,"1,600","1,600","24,000",15," "," "," "
2002,"MICHIGAN, CENTRAL, MONTCALM",26,50,117,YEAR,SUGARBEETS,"1,700","1,700","31,000",18.2," "," "," "
2002,"MICHIGAN, CENTRAL, MIDLAND",26,50,111,YEAR,SUGARBEETS,"3,800","3,800","59,000",15.5," "," "," "
2002,"MICHIGAN, CENTRAL, ISABELLA",26,50,073,YEAR,SUGARBEETS,"1,200","1,200","18,000",15," "," "," "
2002,"MICHIGAN, CENTRAL, GRATIOT",26,50,057,YEAR,SUGARBEETS,"18,700","18,700","320,000",17.1," "," "," "
2002,"MICHIGAN, CENTRAL",26,50,"   ",YEAR,SUGARBEETS,"27,000","27,000","452,000",16.7," "," "," "
2002,MICHIGAN,26,"  ","   ","MARKETING YEAR",SUGARBEETS," "," "," "," "," ",38.2," "
2002,MICHIGAN,26,"  ","   ",YEAR,SUGARBEETS,"177,000","179,000","3,204,000",18.1,"122,393,000"," "," "
2003,"US TOTAL","  ","  ","   ","MARKETING YEAR",SUGARBEETS," "," "," "," "," ",41.4," "
2003,"US TOTAL","  ","  ","   ",YEAR,SUGARBEETS,"1,347,800","1,365,400","30,710,000",22.8,"1,270,026,000"," "," "
2003,"MICHIGAN, SOUTHEAST, LENAWEE",26,90,091,YEAR,SUGARBEETS,500,500,"9,000",18," "," "," "
2003,"MICHIGAN, SOUTHEAST, LAPEER",26,90,087,YEAR,SUGARBEETS,500,500,"12,000",24," "," "," "
2003,"MICHIGAN, SOUTHEAST, GENESEE",26,90,049,YEAR,SUGARBEETS,850,850,"16,000",18.8," "," "," "
2003,"MICHIGAN, SOUTHEAST",26,90,"   ",YEAR,SUGARBEETS,"2,500","2,500","53,000",21.2," "," "," "
2003,"MICHIGAN, SOUTH CENTRAL, OTHER (COMBINED) COUNTIES",26,80,"   ",YEAR,SUGARBEETS,"1,700","1,700","30,000",17.6," "," "," "
2003,"MICHIGAN, SOUTH CENTRAL",26,80,"   ",YEAR,SUGARBEETS,"1,700","1,700","30,000",17.6," "," "," "
2003,"MICHIGAN, OTHER DISTRICTS, ALL COUNTIES",26,98,"   ",YEAR,SUGARBEETS,300,300,"3,000",10," "," "," "
2003,"MICHIGAN, EAST CENTRAL, TUSCOLA",26,60,157,YEAR,SUGARBEETS,"24,800","25,000","490,000",19.8," "," "," "
2003,"MICHIGAN, EAST CENTRAL, SANILAC",26,60,151,YEAR,SUGARBEETS,"23,600","23,700","473,000",20," "," "," "
2003,"MICHIGAN, EAST CENTRAL, SAGINAW",26,60,145,YEAR,SUGARBEETS,"18,600","19,000","373,000",20.1," "," "," "
2003,"MICHIGAN, EAST CENTRAL, HURON",26,60,063,YEAR,SUGARBEETS,"57,300","57,500","1,130,000",19.7," "," "," "
2003,"MICHIGAN, EAST CENTRAL, BAY",26,60,017,YEAR,SUGARBEETS,"19,900","20,000","350,000",17.6," "," "," "
2003,"MICHIGAN, EAST CENTRAL, ARENAC",26,60,011,YEAR,SUGARBEETS,"4,800","4,800","74,000",15.4," "," "," "
2003,"MICHIGAN, EAST CENTRAL",26,60,"   ",YEAR,SUGARBEETS,"149,000","150,000","2,890,000",19.4," "," "," "
2003,"MICHIGAN, CENTRAL, OTHER (COMBINED) COUNTIES",26,50,"   ",YEAR,SUGARBEETS,"1,300","1,300","9,000",6.9," "," "," "
2003,"MICHIGAN, CENTRAL, MIDLAND",26,50,111,YEAR,SUGARBEETS,"3,900","3,900","86,000",22.1," "," "," "
2003,"MICHIGAN, CENTRAL, ISABELLA",26,50,073,YEAR,SUGARBEETS,"1,400","1,400","23,000",16.4," "," "," "
2003,"MICHIGAN, CENTRAL, GRATIOT",26,50,057,YEAR,SUGARBEETS,"16,500","16,500","284,000",17.2," "," "," "
2003,"MICHIGAN, CENTRAL, GLADWIN",26,50,051,YEAR,SUGARBEETS,"1,400","1,400","22,000",15.7," "," "," "
2003,"MICHIGAN, CENTRAL",26,50,"   ",YEAR,SUGARBEETS,"24,500","24,500","424,000",17.3," "," "," "
